Libelle;Densite de generalistes lib. 2024;Densite de population (historique depuis 1876) en 2022.;Part des personnes agees de 75 ans ou plus, 2022;Taux d'activité par tranche d'âge (25 à 59 ans), 2022;Part des ménages fiscaux imposés, 2021;Part des actifs occupés de 15 ans ou plus qui utilisent principalement les transports en commun pour aller travailler, 2022;Présence d'une faculté de médecine;Part de bénéf. de produits pharma dans la pop 2024;Densité d'infirmiers lib. 2024;Densité de kinés lib. 2024;Indice de vieillissement 2022
ZONE;DENS_MED_LIB;DENSITE;PART_75;TAUX_ACTIV;PART_IMPOT;PART_TRANS_COMM;UNIV;PART_PHARMA;DENS_INF;DENS_KIN;IND_VIEIL
Bergerac;5.8;55.3;14.6;89.3;44.3;2.1;0;91.9;21.2;8.5;161.5
Bordeaux;11.5;321;8.5;92.2;58;15.1;1;96.1;17.6;17.2;78.3
Bressuire;5.5;49.8;12.6;92.8;41.2;1.2;0;88.7;10.7;5.2;109.3
Brive-la-Gaillarde;7.1;90.3;13.2;92.1;49.1;2.4;0;91.8;25;13;132.8
Chatellerault;7.6;68.9;12.8;91.2;47.8;2.9;0;92.9;10.5;6;120.1
Cognac;7.3;51.7;13;92;48.2;1.4;0;90.1;12.6;8.6;136.9
Dax;10.9;63.2;12.5;92.8;49.3;1.9;0;97.1;21.7;22.5;132.1
Gueret;6.8;21.3;15.3;90.6;42.1;1.5;0;88.6;28.2;8.7;177.1
La Rochelle;12.3;200.1;11.9;92.5;55.3;5.8;0;95.9;14.2;18.5;118.1
La Teste-de-Buch;10.5;63;12.9;93.3;57;5.6;0;97.1;24.2;21.4;137.5
Langon;11.1;52.2;10.8;91.9;46.1;4.6;0;95.3;23.2;11.8;102.4
Lesparre-Medoc;9.4;48;10.9;91.9;49.2;2.2;0;97.4;19.6;16.2;118.3
Libourne;8;98.8;10.7;91.6;46.6;4.6;0;95.7;21.4;8.3;99.7
Limoges;10.2;87.2;11.9;91.2;50.3;5.8;1;92;20.4;12.9;115.2
Marmande;4.9;47.6;14.4;90.1;41;2.2;0;91.1;18.5;7.3;145
Mont-de-Marsan;9.2;32.7;11.8;91;49.3;1.6;0;92.1;17.6;11.4;121.1
Niort;7.5;72.6;11.4;93.2;52.7;3.6;0;92.8;12.4;7.2;108.7
Oloron-Sainte-Marie;9.9;23.8;13.7;92.9;46.4;1.6;0;90.7;25.6;22.2;147.3
